date,state,fips,cases,deaths,cases_daily,deaths_daily
2020-03-13,Alabama,01,6,0,6,0
2020-03-14,Alabama,01,12,0,6,0
2020-03-15,Alabama,01,23,0,11,0
2020-03-16,Alabama,01,29,0,6,0
2020-03-17,Alabama,01,39,0,10,0
2020-03-18,Alabama,01,51,0,12,0
2020-03-19,Alabama,01,78,0,27,0
2020-03-20,Alabama,01,106,0,28,0
2020-03-21,Alabama,01,131,0,25,0
2020-03-22,Alabama,01,157,0,26,0
2020-03-23,Alabama,01,196,0,39,0
2020-03-24,Alabama,01,242,0,46,0
2020-03-25,Alabama,01,386,1,144,1
2020-03-26,Alabama,01,538,3,152,2
2020-03-27,Alabama,01,639,4,101,1
2020-03-28,Alabama,01,720,4,81,0
2020-03-29,Alabama,01,830,5,110,1
2020-03-30,Alabama,01,947,11,117,6
2020-03-31,Alabama,01,999,14,52,3
2020-04-01,Alabama,01,1108,28,109,14
2020-04-02,Alabama,01,1270,32,162,4
2020-04-03,Alabama,01,1535,38,265,6
2020-04-04,Alabama,01,1632,44,97,6
2020-04-05,Alabama,01,1840,45,208,1
2020-04-06,Alabama,01,2005,53,165,8
2020-04-07,Alabama,01,2197,64,192,11
2020-04-08,Alabama,01,2498,67,301,3
2020-04-09,Alabama,01,2838,78,340,11
2020-04-10,Alabama,01,3008,80,170,2
2020-04-11,Alabama,01,3262,93,254,13
2020-04-12,Alabama,01,3583,93,321,0
2020-04-13,Alabama,01,3805,104,222,11
2020-04-14,Alabama,01,3953,114,148,10
2020-04-15,Alabama,01,4241,123,288,9
2020-04-16,Alabama,01,4404,137,163,14
2020-04-17,Alabama,01,4572,151,168,14
2020-04-18,Alabama,01,4723,147,151,-4
2020-04-19,Alabama,01,4903,160,180,13
2020-04-20,Alabama,01,5078,164,175,4
2020-04-21,Alabama,01,5327,186,249,22
2020-04-22,Alabama,01,5610,201,283,15
2020-04-23,Alabama,01,5832,197,222,-4
2020-04-24,Alabama,01,6026,209,194,12
2020-04-25,Alabama,01,6213,213,187,4
2020-04-26,Alabama,01,6421,219,208,6
2020-04-27,Alabama,01,6539,228,118,9
2020-04-28,Alabama,01,6750,242,211,14
2020-04-29,Alabama,01,6925,262,175,20
2020-04-30,Alabama,01,7068,272,143,10
2020-05-01,Alabama,01,7294,289,226,17
2020-05-02,Alabama,01,7611,288,317,-1
2020-05-03,Alabama,01,7888,290,277,2
2020-05-04,Alabama,01,8112,298,224,8
2020-05-05,Alabama,01,8437,315,325,17
2020-05-06,Alabama,01,8691,343,254,28
2020-05-07,Alabama,01,9046,369,355,26
2020-05-08,Alabama,01,9385,383,339,14
2020-05-09,Alabama,01,9668,390,283,7
2020-05-10,Alabama,01,9889,393,221,3
2020-05-11,Alabama,01,10164,403,275,10
2020-05-12,Alabama,01,10464,435,300,32
2020-05-13,Alabama,01,10700,450,236,15
2020-05-14,Alabama,01,11101,473,401,23
2020-05-15,Alabama,01,11373,483,272,10
2020-05-16,Alabama,01,11674,485,301,2
2020-05-17,Alabama,01,11771,488,97,3
2020-05-18,Alabama,01,12086,489,315,1
2020-05-19,Alabama,01,12376,504,290,15
2020-05-20,Alabama,01,13052,522,676,18
2020-05-21,Alabama,01,13414,529,362,7
2020-05-22,Alabama,01,13670,541,256,12
2020-05-23,Alabama,01,14149,549,479,8
2020-05-24,Alabama,01,14478,551,329,2
2020-05-25,Alabama,01,14986,566,508,15
2020-05-26,Alabama,01,15650,580,664,14
2020-05-27,Alabama,01,16032,583,382,3
2020-05-28,Alabama,01,16530,591,498,8
2020-05-29,Alabama,01,17031,610,501,19
2020-05-30,Alabama,01,17359,618,328,8
2020-05-31,Alabama,01,17952,630,593,12
2020-06-01,Alabama,01,18534,646,582,16
2020-06-02,Alabama,01,18771,653,237,7
2020-06-03,Alabama,01,18851,653,80,0
2020-06-04,Alabama,01,19072,653,221,0
2020-06-05,Alabama,01,19387,676,315,23
2020-06-06,Alabama,01,20043,689,656,13
2020-06-07,Alabama,01,20500,692,457,3
2020-06-08,Alabama,01,20925,718,425,26
2020-06-09,Alabama,01,21422,729,497,11
2020-06-10,Alabama,01,21989,744,567,15
2020-06-11,Alabama,01,22845,755,856,11
2020-06-12,Alabama,01,23710,769,865,14
2020-06-13,Alabama,01,24601,773,891,4
2020-06-14,Alabama,01,25615,773,1014,0
2020-06-15,Alabama,01,26272,774,657,1
2020-06-16,Alabama,01,26912,785,640,11
2020-06-17,Alabama,01,27312,790,400,5
2020-06-18,Alabama,01,28206,810,894,20
2020-06-19,Alabama,01,29002,822,796,12
2020-06-20,Alabama,01,29549,838,547,16
2020-06-21,Alabama,01,30021,839,472,1
2020-06-22,Alabama,01,30454,841,433,2
2020-06-23,Alabama,01,31097,864,643,23
2020-06-24,Alabama,01,32064,891,967,27
2020-06-25,Alabama,01,33206,896,1142,5
2020-06-26,Alabama,01,34183,907,977,11
2020-06-27,Alabama,01,35083,919,900,12
2020-06-28,Alabama,01,35441,919,358,0
2020-06-29,Alabama,01,37175,929,1734,10
2020-06-30,Alabama,01,38045,950,870,21
2020-07-01,Alabama,01,38962,972,917,22
2020-07-02,Alabama,01,40111,985,1149,13
2020-07-03,Alabama,01,41865,1006,1754,21
2020-07-04,Alabama,01,42862,1007,997,1
2020-07-05,Alabama,01,43953,1007,1091,0
