"decision_id","session_id","meeting_record_id","page_number","draft_resolution_id","resolution_id","decision_mode","decision_topic","important","request_by"
"A/RES/997(ES-I)-FP","ESS-001","A/PV.562",34,"A/3256","A/RES/997(ES-I)","recorded vote","draft resolution","not available","not available"
"A/RES/998(ES-I)-FP","ESS-001","A/PV.563",71,"A/3276","A/RES/998(ES-I)","recorded vote","draft resolution","not available","not available"
"A/RES/999(ES-I)-FP","ESS-001","A/PV.563",71,"A/3275","A/RES/999(ES-I)","recorded vote","draft resolution","not available","not available"
"A/RES/1000(ES-I)-M0100","ESS-001","A/PV.565",0,"A/3290","A/RES/1000(ES-I)","non-recorded vote","motion","not available","not available"
"A/RES/1000(ES-I)-FP","ESS-001","A/PV.565",89,"A/3290","A/RES/1000(ES-I)","recorded vote","draft resolution","not available","not available"
"A/RES/1001(ES-I)-A0100","ESS-001","A/PV.567",125,"A/3308","A/RES/1001(ES-I)","non-recorded vote","amendment","not available","not available"
"A/RES/1001(ES-I)-A0200","ESS-001","A/PV.567",125,"A/3308","A/RES/1001(ES-I)","non-recorded vote","amendment","not available","not available"
"A/RES/1001(ES-I)-A0300","ESS-001","A/PV.567",125,"A/3308","A/RES/1001(ES-I)","adopted without vote","amendment","not available","not available"
"A/RES/1001(ES-I)-FP","ESS-001","A/PV.567",126,"A/3308","A/RES/1001(ES-I)","recorded vote","draft resolution","not available","not available"
"A/RES/1001(ES-I)-S0100","ESS-001","A/PV.567",126,"A/3308","A/RES/1001(ES-I)","non-recorded vote","separate vote","not available","Philippines"
"A/RES/1001(ES-I)-S0200","ESS-001","A/PV.567",126,"A/3308","A/RES/1001(ES-I)","non-recorded vote","separate vote","not available","Philippines"
"A/RES/1001(ES-I)-S0300","ESS-001","A/PV.567",126,"A/3308","A/RES/1001(ES-I)","non-recorded vote","separate vote","not available","Philippines"
"A/RES/1002(ES-I)-FP","ESS-001","A/PV.567",126,"A/3309","A/RES/1002(ES-I)","recorded vote","draft resolution","not available","not available"
"A/RES/1003(ES-I)-FP","ESS-001","A/PV.572",0,"A/3329","A/RES/1003(ES-I)","non-recorded vote","draft resolution","not available","not available"
"A/RES/1003(ES-I)-M0100","ESS-001","A/PV.572",0,"A/3329","A/RES/1003(ES-I)","non-recorded vote","motion","not available","not available"
"A/RES/1004(ES-II)-FP","ESS-002","A/PV.564",20,"A/3286","A/RES/1004(ES-II)","recorded vote","draft resolution","not available","not available"
"A/RES/1005(ES-II)-S0100","ESS-002","A/PV.571",77,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0200","ESS-002","A/PV.571",77,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0300","ESS-002","A/PV.571",78,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0400","ESS-002","A/PV.571",78,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0500","ESS-002","A/PV.571",78,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0600","ESS-002","A/PV.571",78,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0700","ESS-002","A/PV.571",78,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru, South Africa"
"A/RES/1005(ES-II)-FP","ESS-002","A/PV.571",79,"A/3316","A/RES/1005(ES-II)","recorded vote","draft resolution","not available","not available"
"A/RES/1005(ES-II)-S0800","ESS-002","A/PV.571",79,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S0900","ESS-002","A/PV.571",79,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1005(ES-II)-S1000","ESS-002","A/PV.571",79,"A/3316","A/RES/1005(ES-II)","recorded vote","separate vote","not available","Netherlands, Peru"
"A/RES/1006(ES-II)-A0100","ESS-002","A/PV.571",80,"A/3319","A/RES/1006(ES-II)","recorded vote","amendment","not available","not available"
"A/RES/1006(ES-II)-FP","ESS-002","A/PV.571",80,"A/3319","A/RES/1006(ES-II)","recorded vote","draft resolution","not available","not available"
"A/RES/1007(ES-II)-FP","ESS-002","A/PV.571",80,"A/3324","A/RES/1007(ES-II)","recorded vote","draft resolution","not available","not available"
"A/RES/996(ES-IandII)-FP","ESS-002","A/PV.571",81,"A/3321","A/RES/996(ES-IandII)","non-recorded vote","draft resolution","not available","not available"
"A/RES/1008(ES-II)-FP","ESS-002","A/PV.573",0,"A/3330","A/RES/1008(ES-II)","non-recorded vote","draft resolution","not available","not available"
"A/RES/1237(ES-III)-FP","ESS-003","A/PV.746",0,"A/3893","A/RES/1237(ES-III)","adopted without vote","draft resolution","not available","not available"
"A/RES/1238(ES-III)-FP","ESS-003","A/PV.746",0,"A/3891","A/RES/1238(ES-III)","non-recorded vote","draft resolution","not available","not available"
"A/RES/1474(ES-IV)-S0200","ESS-004","A/PV.863",0,"A/L.262/Rev.1","A/RES/1474(ES-IV)","non-recorded vote","separate vote","not available","not available"
"A/RES/1475(ES-IV)-FP","ESS-004","A/PV.863",0,"A/4499","A/RES/1475(ES-IV)","non-recorded vote","draft resolution","not available","not available"
"A/RES/1474(ES-IV)-FP","ESS-004","A/PV.863",102,"A/L.262/Rev.1","A/RES/1474(ES-IV)","recorded vote","draft resolution","not available","not available"
"A/RES/1474(ES-IV)-S0100","ESS-004","A/PV.863",102,"A/L.262/Rev.1","A/RES/1474(ES-IV)","recorded vote","separate vote","not available","not available"
"A/L.522/Rev.3/Corr.1-M0100","ESS-005","A/PV.1548",0,"A/L.522/Rev.3/Corr.1","rejected","non-recorded vote","motion","not available","not available"
"A/L.522/Rev.3/Corr.1-A0100","ESS-005","A/PV.1548",14,"A/L.522/Rev.3/Corr.1","rejected","recorded vote","amendment","not available","not available"
"A/L.522/Rev.3/Corr.1-A0200","ESS-005","A/PV.1548",14,"A/L.522/Rev.3/Corr.1","rejected","recorded vote","amendment","not available","not available"
"A/L.522/Rev.3/Corr.1-FP","ESS-005","A/PV.1548",14,"A/L.522/Rev.3/Corr.1","rejected","recorded vote","draft resolution","not available","not available"
"A/L.519-S0100","ESS-005","A/PV.1548",15,"A/L.519","rejected","recorded vote","separate vote","not available","not available"
"A/L.519-S0200","ESS-005","A/PV.1548",15,"A/L.519","rejected","recorded vote","separate vote","not available","not available"
"A/L.519-S0300","ESS-005","A/PV.1548",15,"A/L.519","rejected","recorded vote","separate vote","not available","not available"
"A/L.519-S0400","ESS-005","A/PV.1548",16,"A/L.519","rejected","recorded vote","separate vote","not available","not available"
"A/L.519-S0500","ESS-005","A/PV.1548",16,"A/L.519","rejected","recorded vote","separate vote","not available","not available"
"A/L.521-FP","ESS-005","A/PV.1548",16,"A/L.521","rejected","recorded vote","draft resolution","not available","not available"
"A/L.523/Add.1/Add.2-FP","ESS-005","A/PV.1548",17,"A/L.523/Add.1/Add.2","rejected","recorded vote","draft resolution","not available","not available"
"A/RES/2252(ES-V)-FP","ESS-005","A/PV.1548",17,"A/L.526/Add.1/Add.2/Add.3","A/RES/2252(ES-V)","recorded vote","draft resolution","not available","not available"
"A/RES/2253(ES-V)-FP","ESS-005","A/PV.1548",18,"A/L.527/Rev.1","A/RES/2253(ES-V)","recorded vote","draft resolution","not available","not available"
"A/RES/2254(ES-V)-FP","ESS-005","A/PV.1554",8,"A/L.528/Rev.2","A/RES/2254(ES-V)","recorded vote","draft resolution","not available","not available"
"A/RES/2255(ES-V)-FP","ESS-005","A/PV.1556",0,"A/6742/Corr.1","A/RES/2255(ES-V)","non-recorded vote","draft resolution","not available","not available"
"A/RES/2256(ES-V)-S0100","ESS-005","A/PV.1558",15,"A/L.529/Rev.1","A/RES/2256(ES-V)","recorded vote","separate vote","not available","Sudan"
"A/RES/2256(ES-V)-FP","ESS-005","A/PV.1558",16,"A/L.529/Rev.1","A/RES/2256(ES-V)","recorded vote","draft resolution","not available","not available"
"A/RES/2257(ES-V)-FP","ESS-005","A/PV.1559",0,"A/L.530","A/RES/2257(ES-V)","non-recorded vote","draft resolution","not available","not available"
"A/RES/ES-6/1-FP","ESS-006","A/ES-6/PV.6",0,"A/ES-6/5","A/RES/ES-6/1","adopted without vote","draft resolution","not available","not available"
"A/RES/ES-6/2-FP","ESS-006","A/ES-6/PV.7",111,"A/ES-6/L.1/Add.1","A/RES/ES-6/2","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/1[A]-FP","ESS-007","A/ES-7/PV.11",0,"A/ES-7/13","A/RES/ES-7/1[A]","adopted without vote","draft resolution","not available","not available"
"A/RES/ES-7/2-FP","ESS-007","A/ES-7/PV.11",69,"A/ES-7/L.1/Rev.1","A/RES/ES-7/2","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/3-FP","ESS-007","A/ES-7/PV.11",71,"A/ES-7/L.2/Rev.1","A/RES/ES-7/3","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/4-FP","ESS-007","A/ES-7/PV.20",66,"A/ES-7/L.3","A/RES/ES-7/4","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/1[B]-FP","ESS-007","A/ES-7/PV.21",0,"A/ES-7/13/Add.1","A/RES/ES-7/1[B]","adopted without vote","draft resolution","not available","not available"
"A/RES/ES-7/5-FP","ESS-007","A/ES-7/PV.24",42,"A/ES-7/L.4","A/RES/ES-7/5","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/6-S0100","ESS-007","A/ES-7/PV.31",16,"A/ES-7/L.5/Add.1","A/RES/ES-7/6","recorded vote","separate vote","not available","not available"
"A/RES/ES-7/6-FP","ESS-007","A/ES-7/PV.31",18,"A/ES-7/L.5/Add.1","A/RES/ES-7/6","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/7-FP","ESS-007","A/ES-7/PV.31",21,"A/ES-7/L.6/Add.1","A/RES/ES-7/7","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/8-FP","ESS-007","A/ES-7/PV.31",26,"A/ES-7/L.7/Rev.1","A/RES/ES-7/8","recorded vote","draft resolution","not available","not available"
"A/RES/ES-7/9-S0100","ESS-007","A/ES-7/PV.32",156,"A/ES-7/L.8","A/RES/ES-7/9","recorded vote","separate vote","not available","not available"
"A/RES/ES-7/9-S0200","ESS-007","A/ES-7/PV.32",157,"A/ES-7/L.8","A/RES/ES-7/9","recorded vote","separate vote","not available","not available"
"A/RES/ES-7/9-FP","ESS-007","A/ES-7/PV.32",158,"A/ES-7/L.8","A/RES/ES-7/9","recorded vote","draft resolution","not available","not available"
"A/RES/ES-8/1[B]-FP","ESS-008","A/ES-8/PV.11",0,"A/ES-8/6/Add.1","A/RES/ES-8/1[B]","adopted without vote","draft resolution","not available","not available"
"A/RES/ES-8/2-FP","ESS-008","A/ES-8/PV.12",196,"A/ES-8/L.1/Rev.2/Corr.1","A/RES/ES-8/2","recorded vote","draft resolution","not available","not available"
"A/RES/ES-8/1[A]-FP","ESS-008","A/ES-8/PV.2",6,"A/ES-8/6","A/RES/ES-8/1[A]","recorded vote","draft resolution","not available","not available"
"A/RES/ES-9/1-M0100","ESS-009","A/ES-9/PV.12",0,"A/ES-9/L.1","A/RES/ES-9/1","non-recorded vote","motion","not available","not available"
"A/RES/ES-9/2-FP","ESS-009","A/ES-9/PV.12",0,"A/ES-9/2","A/RES/ES-9/2","adopted without vote","draft resolution","not available","not available"
"A/RES/ES-9/1-FP","ESS-009","A/ES-9/PV.12",139,"A/ES-9/L.1","A/RES/ES-9/1","recorded vote","draft resolution","not available","not available"
"A/RES/ES-10/6-FP","ESS-010","A/ES-10/PV.12",17,"A/ES-10/L.5/Rev.1","A/RES/ES-10/6","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/7-FP","ESS-010","A/ES-10/PV.14",54,"A/ES-10/L.6","A/RES/ES-10/7","recorded vote","draft resolution","important","not available"
"A/RES/ES-10/8-FP","ESS-010","A/ES-10/PV.15",26,"A/ES-10/L.7","A/RES/ES-10/8","recorded vote","draft resolution","important","not available"
"A/RES/ES-10/9-FP","ESS-010","A/ES-10/PV.15",27,"A/ES-10/L.7","A/RES/ES-10/9","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/10-S0100","ESS-010","A/ES-10/PV.17",26,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0200","ESS-010","A/ES-10/PV.17",26,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0300","ESS-010","A/ES-10/PV.17",27,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0400","ESS-010","A/ES-10/PV.17",27,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0500","ESS-010","A/ES-10/PV.17",28,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0600","ESS-010","A/ES-10/PV.17",28,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0700","ESS-010","A/ES-10/PV.17",29,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0800","ESS-010","A/ES-10/PV.17",29,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S0900","ESS-010","A/ES-10/PV.17",30,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1000","ESS-010","A/ES-10/PV.17",30,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1100","ESS-010","A/ES-10/PV.17",31,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1200","ESS-010","A/ES-10/PV.17",31,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1300","ESS-010","A/ES-10/PV.17",32,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1400","ESS-010","A/ES-10/PV.17",32,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1500","ESS-010","A/ES-10/PV.17",33,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1600","ESS-010","A/ES-10/PV.17",33,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1700","ESS-010","A/ES-10/PV.17",34,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1800","ESS-010","A/ES-10/PV.17",34,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S1900","ESS-010","A/ES-10/PV.17",35,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S2000","ESS-010","A/ES-10/PV.17",35,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S2100","ESS-010","A/ES-10/PV.17",36,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S2200","ESS-010","A/ES-10/PV.17",36,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S2300","ESS-010","A/ES-10/PV.17",37,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-S2400","ESS-010","A/ES-10/PV.17",37,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","separate vote","not important","not available"
"A/RES/ES-10/10-FP","ESS-010","A/ES-10/PV.17",38,"A/ES-10/L.9/Rev.1","A/RES/ES-10/10","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/11-FP","ESS-010","A/ES-10/PV.19",23,"A/ES-10/L.11","A/RES/ES-10/11","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/12-FP","ESS-010","A/ES-10/PV.20",19,"A/ES-10/L.12/Add.1","A/RES/ES-10/12","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/13-FP","ESS-010","A/ES-10/PV.22",2,"A/ES-10/L.15","A/RES/ES-10/13","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/14-FP","ESS-010","A/ES-10/PV.23",20,"A/ES-10/L.16","A/RES/ES-10/14","recorded vote","draft resolution","important","not available"
"A/RES/ES-10/15-FP","ESS-010","A/ES-10/PV.27",5,"A/ES-10/L.18/Rev.1","A/RES/ES-10/15","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/16-FP","ESS-010","A/ES-10/PV.29",10,"A/ES-10/L.19","A/RES/ES-10/16","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/1-FP","ESS-010","A/ES-10/PV.3",0,"A/ES-10/5","A/RES/ES-10/1","adopted without vote","draft resolution","not important","not available"
"A/RES/ES-10/2-FP","ESS-010","A/ES-10/PV.3",23,"A/ES-10/L.1/Add.1","A/RES/ES-10/2","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/17-FP","ESS-010","A/ES-10/PV.31",20,"A/ES-10/L.20/Rev.1","A/RES/ES-10/17","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/18-M0100","ESS-010","A/ES-10/PV.36",8,"A/ES-10/L.21/Rev.1","A/RES/ES-10/18","recorded vote","motion","not important","not available"
"A/RES/ES-10/18-FP","ESS-010","A/ES-10/PV.36",9,"A/ES-10/L.21/Rev.1","A/RES/ES-10/18","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/19-FP","ESS-010","A/ES-10/PV.37",18,"A/ES-10/L.22","A/RES/ES-10/19","recorded vote","draft resolution","important","not available"
"A/RES/ES-10/20-A0100","ESS-010","A/ES-10/PV.38",17,"A/ES-10/L.23","A/RES/ES-10/20","recorded vote","amendment","not important","not available"
"A/RES/ES-10/20-M0100","ESS-010","A/ES-10/PV.38",17,"A/ES-10/L.23","A/RES/ES-10/20","recorded vote","motion","not important","not available"
"A/RES/ES-10/20-FP","ESS-010","A/ES-10/PV.38",20,"A/ES-10/L.23","A/RES/ES-10/20","recorded vote","draft resolution","not important","not available"
"A/RES/ES-10/3-FP","ESS-010","A/ES-10/PV.5",25,"A/ES-10/L.2/Rev.1","A/RES/ES-10/3","recorded vote","draft resolution","not important","not available"
