entity_name,year,total_property_taxes,sales_and_use_taxes
Alameda County,2005,345526482,13564326
Alameda County,2006,417893373,15201263
Alameda County,2007,449671803,18566445
Alameda County,2008,479817783,14375709
Alameda County,2009,490869235,12690017
Alameda County,2010,471598974,11765886
Alameda County,2011,464154620,13054401
Alameda County,2012,460897778,14003233
Alameda County,2013,469894068,14894593
Alameda County,2014,496176226,15292032
Alameda County,2015,532912943,16323161
Alameda County,2016,575937247,20416948
Alameda County,2017,661373478,22533935
Alameda County,2018,720609543,24309695
Alpine County,2005,3500920,155765
Alpine County,2006,4020900,184782
Alpine County,2007,4515871,239327
Alpine County,2008,4716010,184142
Alpine County,2009,4913653,129227
Alpine County,2010,5330809,200075
Alpine County,2011,5113040,177921
Alpine County,2012,4781269,197253
Alpine County,2013,4842810,247534
Alpine County,2014,5010518,172756
Alpine County,2015,5027793,241327
Alpine County,2016,4969983,406577
Alpine County,2017,5041527,425709
Alpine County,2018,5185681,395214
Amador County,2005,13301881,1859546
Amador County,2006,15962460,1888908
Amador County,2007,17703180,2185497
Amador County,2008,19528145,2460898
Amador County,2009,20154858,1898815
Amador County,2010,17771309,1919686
Amador County,2011,17559639,1856983
Amador County,2012,17024649,2044140
Amador County,2013,16548890,1905690
Amador County,2014,17037142,2032986
Amador County,2015,18543178,2147178
Amador County,2016,19393426,2315630
Amador County,2017,20091371,2874018
Amador County,2018,20905292,2952716
Butte County,2005,32149480,4029466
Butte County,2006,39271126,2387198
Butte County,2007,42767034,3336308
Butte County,2008,45926784,2873279
Butte County,2009,46972852,2732952
Butte County,2010,47444200,2617033
Butte County,2011,45371243,2908285
Butte County,2012,44590469,2828914
Butte County,2013,44981663,3026078
Butte County,2014,46124058,3318675
Butte County,2015,49316011,3499268
Butte County,2016,56967545,4338344
Butte County,2017,58170937,5973835
Butte County,2018,61375946,5498556
Calaveras County,2005,12454104,1875703
Calaveras County,2006,14613306,2058965
Calaveras County,2007,17685084,2130035
Calaveras County,2008,18838405,2002120
Calaveras County,2009,20742667,1693224
Calaveras County,2010,19072274,1507367
Calaveras County,2011,16355353,1604587
Calaveras County,2012,15907060,1739580
Calaveras County,2013,15343036,1785593
Calaveras County,2014,15497652,1819145
Calaveras County,2015,16692421,1969241
Calaveras County,2016,17426112,2269134
Calaveras County,2017,18044768,3175401
Calaveras County,2018,18652137,3247321
Colusa County,2005,6505445,788307
Colusa County,2006,7899741,753390
Colusa County,2007,8867903,930661
Colusa County,2008,9446322,941426
Colusa County,2009,9487128,1826377
Colusa County,2010,9795868,2258645
Colusa County,2011,10005599,1104737
Colusa County,2012,15111160,1375958
Colusa County,2013,15794648,1468675
Colusa County,2014,15512099,1324264
Colusa County,2015,15594188,1397274
Colusa County,2016,15922372,1669369
Colusa County,2017,16546865,1454959
Colusa County,2018,16927845,1652942
Contra Costa County,2005,223846891,8366413
Contra Costa County,2006,266660549,9699666
